"LA_Code","PHEC_Code"
"E06000001","E45000009"
"E06000002","E45000009"
"E06000003","E45000009"
"E06000004","E45000009"
"E06000005","E45000009"
"E06000006","E45000018"
"E06000007","E45000018"
"E06000008","E45000018"
"E06000009","E45000018"
"E06000010","E45000010"
"E06000011","E45000010"
"E06000012","E45000010"
"E06000013","E45000010"
"E06000014","E45000010"
"E06000015","E45000016"
"E06000016","E45000016"
"E06000017","E45000016"
"E06000018","E45000016"
"E06000019","E45000005"
"E06000020","E45000005"
"E06000021","E45000005"
"E06000022","E45000020"
"E06000023","E45000020"
"E06000024","E45000020"
"E06000025","E45000020"
"E06000026","E45000020"
"E06000027","E45000020"
"E06000030","E45000020"
"E06000031","E45000017"
"E06000032","E45000017"
"E06000033","E45000017"
"E06000034","E45000017"
"E06000035","E45000019"
"E06000036","E45000019"
"E06000037","E45000019"
"E06000038","E45000019"
"E06000039","E45000019"
"E06000040","E45000019"
"E06000041","E45000019"
"E06000042","E45000017"
"E06000043","E45000019"
"E06000044","E45000019"
"E06000045","E45000019"
"E06000046","E45000019"
"E06000047","E45000009"
"E06000049","E45000018"
"E06000050","E45000018"
"E06000051","E45000005"
"E06000052","E45000020"
"E06000053","E45000020"
"E06000054","E45000020"
"E06000055","E45000017"
"E06000056","E45000017"
"E06000057","E45000009"
"E06000058","E45000020"
"E06000059","E45000020"
"E08000001","E45000018"
"E08000002","E45000018"
"E08000003","E45000018"
"E08000004","E45000018"
"E08000005","E45000018"
"E08000006","E45000018"
"E08000007","E45000018"
"E08000008","E45000018"
"E08000009","E45000018"
"E08000010","E45000018"
"E08000011","E45000018"
"E08000012","E45000018"
"E08000013","E45000018"
"E08000014","E45000018"
"E08000015","E45000018"
"E08000016","E45000010"
"E08000017","E45000010"
"E08000018","E45000010"
"E08000019","E45000010"
"E08000021","E45000009"
"E08000022","E45000009"
"E08000023","E45000009"
"E08000024","E45000009"
"E08000025","E45000005"
"E08000026","E45000005"
"E08000027","E45000005"
"E08000028","E45000005"
"E08000029","E45000005"
"E08000030","E45000005"
"E08000031","E45000005"
"E08000032","E45000010"
"E08000033","E45000010"
"E08000034","E45000010"
"E08000035","E45000010"
"E08000036","E45000010"
"E08000037","E45000009"
"E09000001","E45000001"
"E09000002","E45000001"
"E09000003","E45000001"
"E09000004","E45000001"
"E09000005","E45000001"
"E09000006","E45000001"
"E09000007","E45000001"
"E09000008","E45000001"
"E09000009","E45000001"
"E09000010","E45000001"
"E09000011","E45000001"
"E09000012","E45000001"
"E09000013","E45000001"
"E09000014","E45000001"
"E09000015","E45000001"
"E09000016","E45000001"
"E09000017","E45000001"
"E09000018","E45000001"
"E09000019","E45000001"
"E09000020","E45000001"
"E09000021","E45000001"
"E09000022","E45000001"
"E09000023","E45000001"
"E09000024","E45000001"
"E09000025","E45000001"
"E09000026","E45000001"
"E09000027","E45000001"
"E09000028","E45000001"
"E09000029","E45000001"
"E09000030","E45000001"
"E09000031","E45000001"
"E09000032","E45000001"
"E09000033","E45000001"
"E10000002","E45000019"
"E10000003","E45000017"
"E10000006","E45000018"
"E10000007","E45000016"
"E10000008","E45000020"
"E10000011","E45000019"
"E10000012","E45000017"
"E10000013","E45000020"
"E10000014","E45000019"
"E10000015","E45000017"
"E10000016","E45000019"
"E10000017","E45000018"
"E10000018","E45000016"
"E10000019","E45000016"
"E10000020","E45000017"
"E10000021","E45000016"
"E10000023","E45000010"
"E10000024","E45000016"
"E10000025","E45000019"
"E10000027","E45000020"
"E10000028","E45000005"
"E10000029","E45000017"
"E10000030","E45000019"
"E10000031","E45000005"
"E10000032","E45000019"
"E10000034","E45000005"
"L99999999","E45000019"
"M99999999","E45000018"
"N09000001","PHECNI"
"N09000002","PHECNI"
"N09000003","PHECNI"
"N09000004","PHECNI"
"N09000005","PHECNI"
"N09000006","PHECNI"
"N09000007","PHECNI"
"N09000008","PHECNI"
"N09000009","PHECNI"
"N09000010","PHECNI"
"N09000011","PHECNI"
"S12000005","PHECSCOT"
"S12000006","PHECSCOT"
"S12000008","PHECSCOT"
"S12000010","PHECSCOT"
"S12000011","PHECSCOT"
"S12000013","PHECSCOT"
"S12000014","PHECSCOT"
"S12000017","PHECSCOT"
"S12000018","PHECSCOT"
"S12000019","PHECSCOT"
"S12000020","PHECSCOT"
"S12000021","PHECSCOT"
"S12000023","PHECSCOT"
"S12000026","PHECSCOT"
"S12000027","PHECSCOT"
"S12000028","PHECSCOT"
"S12000029","PHECSCOT"
"S12000030","PHECSCOT"
"S12000033","PHECSCOT"
"S12000034","PHECSCOT"
"S12000035","PHECSCOT"
"S12000036","PHECSCOT"
"S12000038","PHECSCOT"
"S12000039","PHECSCOT"
"S12000040","PHECSCOT"
"S12000041","PHECSCOT"
"S12000042","PHECSCOT"
"S12000045","PHECSCOT"
"S12000047","PHECSCOT"
"S12000048","PHECSCOT"
"S12000049","PHECSCOT"
"S12000050","PHECSCOT"
"W06000001","PHECWAL"
"W06000002","PHECWAL"
"W06000003","PHECWAL"
"W06000004","PHECWAL"
"W06000005","PHECWAL"
"W06000006","PHECWAL"
"W06000008","PHECWAL"
"W06000009","PHECWAL"
"W06000010","PHECWAL"
"W06000011","PHECWAL"
"W06000012","PHECWAL"
"W06000013","PHECWAL"
"W06000014","PHECWAL"
"W06000015","PHECWAL"
"W06000016","PHECWAL"
"W06000018","PHECWAL"
"W06000019","PHECWAL"
"W06000020","PHECWAL"
"W06000021","PHECWAL"
"W06000022","PHECWAL"
"W06000023","PHECWAL"
"W06000024","PHECWAL"
